,y,x,osmid,highway,geometry
21638762,14.5937001,120.974169,21638762,,POINT (120.974169 14.5937001)
21638763,14.5937083,120.9749577,21638763,,POINT (120.9749577 14.5937083)
21638765,14.5942974,120.974956,21638765,,POINT (120.974956 14.5942974)
21638771,14.5946573,120.9779276,21638771,milestone,POINT (120.9779276 14.5946573)
21638777,14.5879107,120.9764785,21638777,,POINT (120.9764785 14.5879107)
26030584,14.5912119,120.970856,26030584,,POINT (120.970856 14.5912119)
26030596,14.5905245,120.9706342,26030596,,POINT (120.9706342 14.5905245)
26030598,14.5907567,120.9704591,26030598,,POINT (120.9704591 14.5907567)
26030600,14.5909005,120.9704537,26030600,,POINT (120.9704537 14.5909005)
26030603,14.5906846,120.9711787,26030603,,POINT (120.9711787 14.5906846)
26032680,14.5918031,120.9700972,26032680,,POINT (120.9700972 14.5918031)
33444448,14.5946792,120.9780879,33444448,,POINT (120.9780879 14.5946792)
33445248,14.5947841,120.9782361,33445248,,POINT (120.9782361 14.5947841)
33445249,14.5948673,120.9779314,33445249,,POINT (120.9779314 14.5948673)
34013013,14.5915104,120.9716867,34013013,,POINT (120.9716867 14.5915104)
55561657,14.590474,120.9708788,55561657,,POINT (120.9708788 14.590474)
163715370,14.5893206,120.97823,163715370,,POINT (120.97823 14.5893206)
163715615,14.5882374,120.9781893,163715615,,POINT (120.9781893 14.5882374)
163715617,14.5888126,120.9776735,163715617,,POINT (120.9776735 14.5888126)
163715618,14.5926281,120.9742083,163715618,,POINT (120.9742083 14.5926281)
163715781,14.5883718,120.9771028,163715781,,POINT (120.9771028 14.5883718)
163715896,14.5908883,120.9777422,163715896,,POINT (120.9777422 14.5908883)
163715977,14.5885689,120.973819,163715977,,POINT (120.973819 14.5885689)
163715979,14.5896087,120.9749323,163715979,,POINT (120.9749323 14.5896087)
163715982,14.5905906,120.9760658,163715982,,POINT (120.9760658 14.5905906)
163715983,14.5911224,120.976633,163715983,,POINT (120.976633 14.5911224)
163715985,14.5915971,120.9771932,163715985,,POINT (120.9771932 14.5915971)
163723133,14.5934795,120.9775015,163723133,,POINT (120.9775015 14.5934795)
163723134,14.5924643,120.9763929,163723134,,POINT (120.9763929 14.5924643)
163723135,14.5919522,120.9758307,163723135,,POINT (120.9758307 14.5919522)
163723136,14.5914581,120.9752691,163723136,,POINT (120.9752691 14.5914581)
163723137,14.5909531,120.9747178,163723137,,POINT (120.9747178 14.5909531)
163723138,14.5904587,120.974178,163723138,,POINT (120.974178 14.5904587)
163723193,14.5910386,120.9736339,163723193,,POINT (120.9736339 14.5910386)
163723589,14.5915448,120.9741778,163723589,,POINT (120.9741778 14.5915448)
163723590,14.5920631,120.974718,163723590,,POINT (120.974718 14.5920631)
163723591,14.5925809,120.9752577,163723591,,POINT (120.9752577 14.5925809)
163723592,14.5938228,120.976589,163723592,,POINT (120.976589 14.5938228)
163723846,14.5921048,120.9736464,163723846,,POINT (120.9736464 14.5921048)
163723847,14.593116,120.9747259,163723847,,POINT (120.9747259 14.593116)
163724401,14.5901996,120.977442,163724401,,POINT (120.977442 14.5901996)
163724859,14.5896954,120.9768933,163724859,,POINT (120.9768933 14.5896954)
163724861,14.5892308,120.9763202,163724861,,POINT (120.9763202 14.5892308)
163724862,14.5887458,120.9757101,163724862,,POINT (120.9757101 14.5887458)
163724864,14.5875478,120.9747605,163724864,,POINT (120.9747605 14.5875478)
163725138,14.5869828,120.9752848,163725138,,POINT (120.9752848 14.5869828)
163725214,14.5877596,120.9776514,163725214,,POINT (120.9776514 14.5877596)
163725623,14.5888177,120.9788071,163725623,,POINT (120.9788071 14.5888177)
163728450,14.5899434,120.9736334,163728450,,POINT (120.9736334 14.5899434)
163728488,14.5890951,120.9744053,163728488,,POINT (120.9744053 14.5890951)
163732367,14.5905307,120.9730818,163732367,,POINT (120.9730818 14.5905307)
163732980,14.5930977,120.9757962,163732980,,POINT (120.9757962 14.5930977)
163734761,14.593429,120.9744618,163734761,,POINT (120.9744618 14.593429)
163735854,14.5911164,120.9725541,163735854,,POINT (120.9725541 14.5911164)
163748221,14.5878346,120.9717013,163748221,,POINT (120.9717013 14.5878346)
163748223,14.5875892,120.9714463,163748223,,POINT (120.9714463 14.5875892)
163748224,14.5867967,120.9706328,163748224,,POINT (120.9706328 14.5867967)
163748845,14.5903249,120.9701269,163748845,,POINT (120.9701269 14.5903249)
163749468,14.589859,120.9704242,163749468,,POINT (120.9704242 14.589859)
163749520,14.5893112,120.9707698,163749520,,POINT (120.9707698 14.5893112)
163749521,14.5880191,120.9693893,163749521,,POINT (120.9693893 14.5880191)
163749624,14.5888437,120.9710653,163749624,,POINT (120.9710653 14.5888437)
163749626,14.5876168,120.9697882,163749626,,POINT (120.9697882 14.5876168)
163749759,14.5883245,120.9713923,163749759,,POINT (120.9713923 14.5883245)
163749768,14.5884091,120.9706129,163749768,,POINT (120.9706129 14.5884091)
163749769,14.5888029,120.9702275,163749769,,POINT (120.9702275 14.5888029)
163749770,14.5892514,120.9697774,163749770,,POINT (120.9697774 14.5892514)
163750296,14.5912672,120.9695357,163750296,,POINT (120.9695357 14.5912672)
163756372,14.5914358,120.9784622,163756372,,POINT (120.9784622 14.5914358)
163756373,14.5904424,120.9772228,163756373,,POINT (120.9772228 14.5904424)
165758777,14.5942804,120.9797019,165758777,,POINT (120.9797019 14.5942804)
193586498,14.5895919,120.9694356,193586498,,POINT (120.9694356 14.5895919)
243974755,14.5908569,120.9712147,243974755,,POINT (120.9712147 14.5908569)
251845685,14.5948496,120.9784632,251845685,,POINT (120.9784632 14.5948496)
291714725,14.5865657,120.977647,291714725,,POINT (120.977647 14.5865657)
291715401,14.5869457,120.9783857,291715401,,POINT (120.9783857 14.5869457)
291715455,14.5896117,120.978876,291715455,,POINT (120.978876 14.5896117)
299397228,14.5923024,120.9780025,299397228,,POINT (120.9780025 14.5923024)
299399375,14.5869787,120.9772969,299399375,,POINT (120.9772969 14.5869787)
299399376,14.5874446,120.9779222,299399376,,POINT (120.9779222 14.5874446)
301287773,14.5894997,120.973116,301287773,,POINT (120.973116 14.5894997)
340150426,14.5922385,120.9725301,340150426,,POINT (120.9725301 14.5922385)
405253178,14.5884701,120.9784354,405253178,,POINT (120.9784354 14.5884701)
405253179,14.5890779,120.977954,405253179,,POINT (120.977954 14.5890779)
616061273,14.5894023,120.9716578,616061273,,POINT (120.9716578 14.5894023)
617535909,14.5945369,120.9782388,617535909,,POINT (120.9782388 14.5945369)
703530319,14.5942876,120.9741903,703530319,,POINT (120.9741903 14.5942876)
997416620,14.5938629,120.9783943,997416620,,POINT (120.9783943 14.5938629)
997416622,14.5932655,120.9725756,997416622,,POINT (120.9725756 14.5932655)
997427763,14.5916011,120.973123,997427763,,POINT (120.973123 14.5916011)
997427805,14.5936951,120.974794,997427805,,POINT (120.974794 14.5936951)
997427853,14.5927829,120.9719989,997427853,,POINT (120.9719989 14.5927829)
1034880407,14.5924544,120.9743729,1034880407,,POINT (120.9743729 14.5924544)
1034880410,14.5929533,120.9748831,1034880410,,POINT (120.9748831 14.5929533)
1034881576,14.5896891,120.9759043,1034881576,,POINT (120.9759043 14.5896891)
1034881577,14.5891663,120.9753166,1034881577,,POINT (120.9753166 14.5891663)
1038283665,14.5895606,120.9780065,1038283665,,POINT (120.9780065 14.5895606)
1055759279,14.5937828,120.9749608,1055759279,,POINT (120.9749608 14.5937828)
1055798638,14.5948761,120.977813,1055798638,,POINT (120.977813 14.5948761)
1055798662,14.5943875,120.9780734,1055798662,,POINT (120.9780734 14.5943875)
1326072342,14.5864017,120.9710346,1326072342,,POINT (120.9710346 14.5864017)
1326072343,14.5873147,120.9720293,1326072343,,POINT (120.9720293 14.5873147)
1385466358,14.593141,120.9791097,1385466358,,POINT (120.9791097 14.593141)
1707897341,14.5947149,120.9782858,1707897341,,POINT (120.9782858 14.5947149)
1707897342,14.5947761,120.9784826,1707897342,,POINT (120.9784826 14.5947761)
2018584651,14.5912007,120.9709283,2018584651,,POINT (120.9709283 14.5912007)
3199908408,14.587421,120.9729059,3199908408,,POINT (120.9729059 14.587421)
3201008959,14.5868527,120.9723204,3201008959,,POINT (120.9723204 14.5868527)
3201009065,14.5879903,120.9710435,3201009065,,POINT (120.9710435 14.5879903)
3201009147,14.5863049,120.9726665,3201009147,,POINT (120.9726665 14.5863049)
3201009286,14.5871955,120.9702272,3201009286,,POINT (120.9702272 14.5871955)
3388706122,14.5900964,120.9755121,3388706122,,POINT (120.9755121 14.5900964)
3388766875,14.5927152,120.9730636,3388766875,,POINT (120.9730636 14.5927152)
3388905506,14.5938934,120.9720202,3388905506,,POINT (120.9720202 14.5938934)
3403138118,14.5922473,120.9799053,3403138118,,POINT (120.9799053 14.5922473)
4211986439,14.5874509,120.9758872,4211986439,,POINT (120.9758872 14.5874509)
4211986449,14.5881952,120.9752901,4211986449,,POINT (120.9752901 14.5881952)
5561065691,14.5917421,120.9719585,5561065691,,POINT (120.9719585 14.5917421)
5799534205,14.5942394,120.9753825,5799534205,,POINT (120.9753825 14.5942394)
5799534217,14.5945876,120.9775632,5799534217,,POINT (120.9775632 14.5945876)
5799534236,14.5944345,120.9780425,5799534236,,POINT (120.9780425 14.5944345)
6616025154,14.5919108,120.9702012,6616025154,,POINT (120.9702012 14.5919108)
6618406202,14.5947438,120.9780456,6618406202,,POINT (120.9780456 14.5947438)
6633789015,14.5899544,120.978502,6633789015,,POINT (120.978502 14.5899544)
7555626796,14.5888741,120.9710462,7555626796,,POINT (120.9710462 14.5888741)
7555626807,14.5884361,120.9705866,7555626807,,POINT (120.9705866 14.5884361)
7555626817,14.5876464,120.969758,7555626817,,POINT (120.969758 14.5876464)
7555626818,14.5894379,120.9716378,7555626818,,POINT (120.9716378 14.5894379)
